price,address,bds,ba,sqft,img
"Est. $1,108,885","310 2nd St APT 5D, Brooklyn, NY 11215",2 bds,1 ba,991 sqft,https://photos.zillowstatic.com/fp/28bb1fe68b032fc95652a143038805ed-p_e.jpg
"Est. $531,000","66 Bartlett Ave, Staten Island, NY 10312",3 bds,1 ba,984 sqft,https://photos.zillowstatic.com/fp/21c204c266e1ca84e9fb355dcee5a4d0-p_e.jpg
"Est. $810,000","60 Avon Pl, Staten Island, NY 10301",Studio,-- ba,"3,310 sqft",https://photos.zillowstatic.com/fp/28f50e77fefa7bfa3cc528dbc1251dec-p_e.jpg
"Est. $384,389","3 Winant St, Staten Island, NY 10303",3 bds,3 ba,"1,200 sqft",https://photos.zillowstatic.com/fp/ac8f07f9bfad4ba8fc9209f191feebe9-p_e.jpg
"Est. $395,946","43 Paris Ct, Staten Island, NY 10310",3 bds,3 ba,"1,260 sqft",https://photos.zillowstatic.com/fp/657db9167b2428cb433783c08f0fc150-p_e.jpg
"Est. $410,000","118 Cannon Ave, Staten Island, NY 10314",2 bds,1 ba,804 sqft,https://photos.zillowstatic.com/fp/0f988c69aed186b6f7ff166d8610d579-p_e.jpg
"Est. $725,270","398 Amboy St, Brooklyn, NY 11212",-- bds,-- ba,"1,879 sqft",N/A
"Est. $2,255,172","275 Corbin Pl, Brooklyn, NY 11235",3 bds,3 ba,"2,188 sqft",N/A
"Est. $1,401,451","774 Herkimer St, Brooklyn, NY 11233",8 bds,6 ba,"4,815 sqft",N/A
"Est. $436,036","2511 Edgemere Ave, Far Rockaway, NY 11691",3 bds,1 ba,"1,122 sqft",N/A
"Est. $374,939","3668 Barnes Ave, Bronx, NY 10467",4 bds,2 ba,"2,010 sqft",N/A
"$975,000","425 E 79th St APT 10K, New York, NY 10075",2 bds,1 ba,"1,100 sqft",N/A
"$975,000","16 W 16th St APT 7AS, New York, NY 10011",1 bd,1 ba,750 sqft,N/A
"Est. $611,654","1606 E 45th St, Brooklyn, NY 11234",3 bds,2 ba,"1,152 sqft",N/A
"Est. $286,392","2923 Bruner Ave, Bronx, NY 10469",2 bds,1 ba,"1,671 sqft",N/A
"Est. $575,001","931 E 88th St, Brooklyn, NY 11236",3 bds,1 ba,"1,200 sqft",N/A
"Est. $355,671","1327 Clay Ave, Bronx, NY 10456",3 bds,3 ba,"1,611 sqft",N/A
"Est. $828,624","64 De Sales Pl, Brooklyn, NY 11207",5 bds,2 ba,"1,688 sqft",N/A
"Est. $1,516,725","583 Jefferson Ave, Brooklyn, NY 11221",5 bds,3 ba,"3,880 sqft",N/A
"Est. $2,476,971","375 7th St, Brooklyn, NY 11215",6 bds,3 ba,"3,300 sqft",N/A
"Est. $374,000","11144 144th St, Jamaica, NY 11435",2 bds,1 ba,924 sqft,N/A
"Est. $439,774","126 Blake Ave, Brooklyn, NY 11212",4 bds,2 ba,"1,512 sqft",N/A
"Est. $668,983","10534 Otis Ave, Flushing, NY 11368",-- bds,-- ba,"2,164 sqft",N/A
"Est. $337,349","961 E 223rd St, Bronx, NY 10466",Studio,-- ba,"2,440 sqft",N/A
"Est. $290,613","9934 Bellaire Pl, Jamaica, NY 11429",3 bds,1 ba,"1,400 sqft",N/A
"Est. $363,839","1913 Barnes Ave, Bronx, NY 10462",Studio,-- ba,"1,488 sqft",N/A
"Est. $2,133,650","2149 45th Ave, Long Island City, NY 11101",6 bds,3 ba,"2,783 sqft",N/A
"Est. $270,270","9960 164th Rd, Howard Beach, NY 11414",2 bds,1 ba,656 sqft,N/A
"Est. $641,816","56 Bentley Ln, Staten Island, NY 10307",4 bds,3 ba,"2,199 sqft",N/A
"Est. $590,748","2246 Quimby Ave, Bronx, NY 10473",4 bds,3 ba,"1,860 sqft",N/A
"Est. $721,505","2951 Avenue V, Brooklyn, NY 11229",3 bds,3 ba,"1,674 sqft",N/A
"Est. $576,000","453 New Lots Ave, Brooklyn, NY 11207",6 bds,3 ba,"2,411 sqft",N/A
"Est. $741,655","655 Hendrix St, Brooklyn, NY 11207",6 bds,2 ba,"2,000 sqft",N/A
"Est. $467,414","24 Grove St, Staten Island, NY 10304",Studio,-- ba,"1,440 sqft",N/A
